timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1443289856949229,-6,-20,-3,-2,-1,0,1,0
1443289856949229,-4,-5,-4,-1,-3,-2,-2,-3
1443289856964242,6,16,0,0,-1,-2,2,-1
1443289856964242,0,11,1,-1,-1,-2,1,-3
1443289856966243,-5,-26,-3,-1,1,0,0,-2
1443289856966243,3,8,2,2,1,1,1,1
1443289856987255,-1,4,2,-2,-1,-1,-1,-2
1443289856987255,1,5,-1,-3,-2,-3,-2,-1
1443289856988256,6,5,-1,-3,-2,0,2,0
1443289856988256,-8,-7,-1,3,3,1,12,3
1443289857000264,-4,-4,3,1,0,-1,-3,0
1443289857000264,1,7,-3,-1,1,1,1,1
1443289857009270,-1,0,0,-1,-2,-2,-5,-3
1443289857009270,-1,4,3,-7,-3,-1,-6,-3
1443289857024281,-5,-10,-1,-1,-2,0,3,1
1443289857024281,5,-4,-1,-1,-1,-2,-2,0
1443289857026281,0,7,0,-3,-2,-2,-1,-3
1443289857026281,0,-3,-5,2,-1,0,-2,-1
1443289857047295,0,9,0,-2,-3,0,-2,0
1443289857047295,-3,-6,0,-2,1,0,-3,0
1443289857048296,-2,-20,-1,0,-1,-1,0,3
1443289857048296,3,12,-4,-4,-3,-2,-2,-4
1443289857069311,-4,-8,-3,-1,-2,-1,0,-1
1443289857069311,-8,-9,2,0,0,-2,0,-4
1443289857071314,8,-5,-2,0,0,-1,0,-1
1443289857071314,-1,18,3,-3,-2,-1,-3,-1
1443289857084320,0,7,-1,2,1,0,1,1
1443289857084320,0,-8,-5,-2,-2,-2,0,-2
1443289857090324,-4,-4,-2,0,-1,0,-2,-2
1443289857090324,1,-9,-2,-1,-1,-2,-2,1
1443289857107335,-5,-2,-1,-1,0,-2,0,-1
1443289857107335,4,-20,1,-2,-2,0,-1,-2
1443289857109337,-4,30,4,1,-3,-1,3,0
1443289857109337,3,1,1,5,0,0,0,0
1443289857129349,-5,-6,-3,-3,0,0,0,-3
1443289857129349,6,9,1,1,-2,0,0,1
1443289857131352,-7,-8,-3,-2,-2,-1,-6,-3
1443289857131352,-3,-1,2,-1,-2,1,1,0
1443289857144359,-1,-15,-11,1,0,0,-1,0
1443289857144359,-1,5,4,1,2,0,0,0
1443289857146361,6,22,-6,-3,-2,-1,0,-2
1443289857146361,-5,-14,5,2,0,0,-4,-1
1443289857167381,5,11,4,-2,0,-1,-3,-2
1443289857167381,-5,-9,-4,-2,-1,-1,-2,0
1443289857168377,2,-4,1,0,0,0,0,2
1443289857168377,-6,-4,-4,0,-1,-1,-2,-2
1443289857189391,-1,-7,-4,-4,-4,1,-1,-1
1443289857189391,-4,3,0,-1,-2,-2,-1,-2
1443289857191392,-1,4,3,1,0,0,0,-1
1443289857191392,0,-6,-8,-6,-1,-2,-2,0
1443289857204400,-1,-6,9,5,3,0,-5,-2
1443289857204400,-2,15,-7,-4,-3,0,3,0
1443289857206402,-8,-12,0,4,-2,0,1,-1
1443289857206402,11,-5,-1,-2,-3,-3,-5,-1
1443289857227420,0,21,-1,-8,-3,-2,-4,-3
1443289857227420,2,12,3,5,0,0,1,1
1443289857228417,0,-12,-3,-2,1,-1,-1,0
1443289857228417,-7,-14,-2,1,-1,-1,2,1
1443289857249432,-4,-13,4,4,-2,0,0,0
1443289857249432,1,19,1,-4,-2,-1,-3,-1
1443289857251432,8,-4,-6,-3,-2,-2,-1,-2
1443289857251432,3,3,1,1,1,0,-1,0
1443289857264440,-3,-10,-5,-4,-1,-1,0,-1
1443289857264440,-7,-9,2,0,0,1,-2,-1
1443289857270446,-1,6,2,2,0,0,1,-1
1443289857270446,-5,-7,-1,-1,-2,0,0,-2
1443289857287460,2,2,-4,-2,-2,-2,3,0
1443289857287460,0,-15,-2,0,-3,0,4,1
1443289857288457,6,23,-3,-6,-1,-2,-3,-2
1443289857288457,0,15,3,-1,-1,0,0,-1
1443289857309472,-4,-1,-1,1,0,-2,-1,-3
1443289857309472,-2,-8,-3,-4,-2,-1,-4,-2
1443289857312474,-2,-16,-2,1,0,0,0,1
1443289857312474,-9,-19,1,2,2,1,-1,0
1443289857324527,1,16,-3,-3,-2,-1,-1,0
1443289857324527,1,8,2,-5,-3,-3,-8,-1
1443289857330485,-3,-19,-4,3,-1,2,1,0
1443289857330485,-1,18,0,-5,0,0,-1,-1
1443289857347498,3,-12,3,4,1,0,-1,0
1443289857347498,-6,-7,-3,1,2,0,-1,-1
1443289857348496,-5,1,-1,-1,-1,0,-2,-1
